IBM,Stock
MSF,Stock
XS2106834299,Bond
US594918BR43,Bond
c,Stock
TSLA,Stock
IBM,Stock
MSF,Stock
US594918BR43,Bond
APA220414C00020000,Option
UGI220414P00040000,Option
TSLA,Stock
AAPL,Stock
Cash,Cash
0700.HK,Stock
XS2106834299,Bond
US594918BR43,Bond
XS2106834299,Bond
US594918BR43,Bond
c,Stock
TSLA,Stock
IBM,Stock
MSF,Stock
TSLA,Stock
AAPL,Stock
Cash,Cash
0700.HK,Stock
XS2106834299,Bond
US594918BR43,Bond
AMZN,Stock
TSLA,Stock
IBM,Stock
MSF,Stock
XS2106834299,Bond
US594918BR43,Bond
c,Stock
TSLA,Stock
IBM,Stock
MSF,Stock
US594918BR43,Bond
